chrom,start,end,strand,gene_id,gene_name,utr_id
1,3275824,3277840,-,ENSMUSG00000051951,Xkr4,1
1,3284405,3286544,-,ENSMUSG00000051951,Xkr4,2
1,4069480,4070140,-,ENSMUSG00000025900,Rp1,1
1,4360769,4363535,-,ENSMUSG00000025900,Rp1,2
1,4414069,4415122,-,ENSMUSG00000025900,Rp1,3
1,4560854,4564127,-,ENSMUSG00000025902,Sox17,1
1,4843129,4848171,-,ENSMUSG00000033845,Mrpl15,1
1,4849890,4855089,-,ENSMUSG00000033845,Mrpl15,2
1,4910879,4913350,+,ENSMUSG00000025903,Lypla1,1
1,4914886,4917406,+,ENSMUSG00000025903,Lypla1,2
1,4918063,4918933,+,ENSMUSG00000025903,Lypla1,3
1,4902240,4902904,+,ENSMUSG00000104217,Gm37988,1
1,4906924,4907597,+,ENSMUSG00000104217,Gm37988,2
1,4909310,4910011,+,ENSMUSG00000104217,Gm37988,3
1,4910879,4911655,+,ENSMUSG00000104217,Gm37988,4
1,4937393,4938055,+,ENSMUSG00000104217,Gm37988,5
1,4947950,4948655,+,ENSMUSG00000104217,Gm37988,6
1,4956667,4957293,+,ENSMUSG00000104217,Gm37988,7
1,4966288,4968432,+,ENSMUSG00000033813,Tcea1,1
1,4979499,4981185,-,ENSMUSG00000002459,Rgs20,1
1,4982237,4983071,-,ENSMUSG00000002459,Rgs20,2
1,4986820,4987452,-,ENSMUSG00000002459,Rgs20,3
1,4992451,4994512,-,ENSMUSG00000002459,Rgs20,4
1,5132702,5133707,-,ENSMUSG00000002459,Rgs20,5
1,5154340,5157302,+,ENSMUSG00000033793,Atp6v1h,1
1,5165538,5166251,+,ENSMUSG00000033793,Atp6v1h,2
1,5167952,5170300,+,ENSMUSG00000033793,Atp6v1h,3
1,5213673,5215575,+,ENSMUSG00000033793,Atp6v1h,4
1,5232089,5233052,+,ENSMUSG00000033793,Atp6v1h,5
1,5658389,5661834,+,ENSMUSG00000025905,Oprk1,1
1,5672175,5676654,+,ENSMUSG00000025905,Oprk1,2
1,5983626,5986822,-,ENSMUSG00000033774,Npbwr1,1
1,6299883,6301228,+,ENSMUSG00000025907,Rb1cc1,1
1,6303885,6304835,+,ENSMUSG00000025907,Rb1cc1,2
1,6308186,6308908,+,ENSMUSG00000025907,Rb1cc1,3
1,6318200,6319553,+,ENSMUSG00000025907,Rb1cc1,4
1,6320855,6321782,+,ENSMUSG00000025907,Rb1cc1,5
1,6332758,6333378,+,ENSMUSG00000025907,Rb1cc1,6
1,6334466,6336334,+,ENSMUSG00000025907,Rb1cc1,7
1,6338622,6339280,+,ENSMUSG00000025907,Rb1cc1,8
1,6340615,6343295,+,ENSMUSG00000025907,Rb1cc1,9
1,6344122,6347172,+,ENSMUSG00000025907,Rb1cc1,10
1,6461029,6461640,+,ENSMUSG00000087247,Alkal1,1
1,6464194,6465255,+,ENSMUSG00000087247,Alkal1,2
1,6865310,6866074,+,ENSMUSG00000033740,St18,1
1,6872244,6874242,+,ENSMUSG00000033740,St18,2
1,6877467,6878201,+,ENSMUSG00000033740,St18,3
1,6879201,6879889,+,ENSMUSG00000033740,St18,4
1,6903487,6904122,+,ENSMUSG00000033740,St18,5
1,6918831,6919508,+,ENSMUSG00000033740,St18,6
1,6928525,6931464,+,ENSMUSG00000033740,St18,7
1,7225059,7225795,+,ENSMUSG00000051285,Pcmtd1,1
1,7230816,7231587,+,ENSMUSG00000051285,Pcmtd1,2
1,7233172,7233895,+,ENSMUSG00000051285,Pcmtd1,3
1,7239439,7244152,+,ENSMUSG00000051285,Pcmtd1,4
1,8431399,8434157,-,ENSMUSG00000025909,Sntg1,1
1,8484127,8484837,-,ENSMUSG00000025909,Sntg1,2
1,8514951,8515643,-,ENSMUSG00000025909,Sntg1,3
1,8517904,8518656,-,ENSMUSG00000025909,Sntg1,4
1,8533318,8533989,-,ENSMUSG00000025909,Sntg1,5
1,8535361,8536077,-,ENSMUSG00000025909,Sntg1,6
1,8624649,8625287,-,ENSMUSG00000025909,Sntg1,7
1,8653129,8653760,-,ENSMUSG00000025909,Sntg1,8
1,8745897,8749637,-,ENSMUSG00000025909,Sntg1,9
1,8851455,8853421,-,ENSMUSG00000025909,Sntg1,10
1,9020234,9022946,-,ENSMUSG00000025909,Sntg1,11
1,9616547,9617980,+,ENSMUSG00000061024,Rrs1,1
1,9622868,9624344,+,ENSMUSG00000025911,Adhfe1,1
1,9625463,9626140,+,ENSMUSG00000025911,Adhfe1,2
1,9626925,9628810,+,ENSMUSG00000025911,Adhfe1,3
1,9630034,9630732,+,ENSMUSG00000025911,Adhfe1,4
1,9633434,9634418,+,ENSMUSG00000025911,Adhfe1,5
1,9636706,9637463,+,ENSMUSG00000025911,Adhfe1,6
1,9646116,9648495,+,ENSMUSG00000025911,Adhfe1,7
1,9650145,9651198,+,ENSMUSG00000025911,Adhfe1,8
1,9694822,9697668,+,ENSMUSG00000067879,Vxn,1
1,9737340,9740408,-,ENSMUSG00000025912,Mybl1,1
1,9746057,9746860,-,ENSMUSG00000025912,Mybl1,2
1,9748197,9749030,-,ENSMUSG00000025912,Mybl1,3
1,9751788,9752414,-,ENSMUSG00000025912,Mybl1,4
1,9788547,9795006,-,ENSMUSG00000045210,Vcpip1,1
1,9896938,9900863,+,ENSMUSG00000025915,Sgk3,1
1,9935388,9936156,+,ENSMUSG00000025915,Sgk3,2
1,9938419,9939213,+,ENSMUSG00000025915,Sgk3,3
1,9941555,9943079,+,ENSMUSG00000025915,Sgk3,4
1,9947091,9947778,+,ENSMUSG00000025915,Sgk3,5
1,9948951,9949600,+,ENSMUSG00000025915,Sgk3,6
1,9950257,9950914,+,ENSMUSG00000025915,Sgk3,7
1,9951503,9952416,+,ENSMUSG00000025915,Sgk3,8
1,9954332,9959602,+,ENSMUSG00000025915,Sgk3,9
1,9961286,9961975,+,ENSMUSG00000025915,Sgk3,10
1,9965352,9971370,+,ENSMUSG00000025915,Sgk3,11
1,9990602,9993050,+,ENSMUSG00000046101,Mcmdc2,1
1,10006936,10007630,+,ENSMUSG00000046101,Mcmdc2,2
1,10010303,10012610,+,ENSMUSG00000046101,Mcmdc2,3
1,10030088,10033932,-,ENSMUSG00000099032,Tcf24,1
1,10038549,10039456,-,ENSMUSG00000025916,Ppp1r42,1
1,10046512,10047216,-,ENSMUSG00000025916,Ppp1r42,2
1,10048741,10049472,-,ENSMUSG00000025916,Ppp1r42,3
1,10055517,10056234,-,ENSMUSG00000025916,Ppp1r42,4
1,10064988,10065799,-,ENSMUSG00000025916,Ppp1r42,5
1,10094526,10095588,-,ENSMUSG00000025917,Cops5,1
1,10097028,10097776,-,ENSMUSG00000025917,Cops5,2
1,10100524,10105688,-,ENSMUSG00000025917,Cops5,3
1,10107205,10108470,-,ENSMUSG00000025917,Cops5,4
1,10107912,10109867,+,ENSMUSG00000056763,Cspp1,1
1,10117349,10118059,+,ENSMUSG00000056763,Cspp1,2
1,10128645,10132296,+,ENSMUSG00000056763,Cspp1,3
1,10136351,10138858,+,ENSMUSG00000056763,Cspp1,4
1,10141108,10146716,+,ENSMUSG00000056763,Cspp1,5
1,10153426,10154598,+,ENSMUSG00000056763,Cspp1,6
1,10155672,10156342,+,ENSMUSG00000056763,Cspp1,7
1,10158036,10159485,+,ENSMUSG00000056763,Cspp1,8
1,10160113,10160842,+,ENSMUSG00000056763,Cspp1,9
1,10178294,10179079,+,ENSMUSG00000056763,Cspp1,10
1,10186539,10187256,+,ENSMUSG00000056763,Cspp1,11
1,10199911,10200610,+,ENSMUSG00000056763,Cspp1,12
1,10202379,10204698,+,ENSMUSG00000056763,Cspp1,13
1,10205859,10207293,+,ENSMUSG00000056763,Cspp1,14
1,10207496,10209521,-,ENSMUSG00000067851,Arfgef1,1
1,10217330,10218060,-,ENSMUSG00000067851,Arfgef1,2
1,10226324,10231395,-,ENSMUSG00000067851,Arfgef1,3
1,10243000,10243682,-,ENSMUSG00000067851,Arfgef1,4
1,10278871,10280632,-,ENSMUSG00000067851,Arfgef1,5
1,10394645,10395836,-,ENSMUSG00000042501,Cpa6,1
1,10399398,10400082,-,ENSMUSG00000042501,Cpa6,2
1,10407192,10407994,-,ENSMUSG00000042501,Cpa6,3
1,10478194,10479892,-,ENSMUSG00000042501,Cpa6,4
1,10542400,10547654,-,ENSMUSG00000042501,Cpa6,5
1,10550939,10551640,-,ENSMUSG00000042501,Cpa6,6
1,10553874,10554549,-,ENSMUSG00000042501,Cpa6,7
1,10665291,10666220,-,ENSMUSG00000042501,Cpa6,8
1,11063442,11067125,+,ENSMUSG00000048960,Prex2,1
1,11219734,11220595,+,ENSMUSG00000048960,Prex2,2
1,11230020,11231120,+,ENSMUSG00000048960,Prex2,3
1,11328037,11328696,+,ENSMUSG00000048960,Prex2,4
1,11333960,11334619,+,ENSMUSG00000048960,Prex2,5
1,11335603,11336683,+,ENSMUSG00000048960,Prex2,6
1,11354039,11355683,+,ENSMUSG00000048960,Prex2,7
1,11359177,11359844,+,ENSMUSG00000048960,Prex2,8
1,11367632,11374205,+,ENSMUSG00000048960,Prex2,9
1,11588502,11589233,+,ENSMUSG00000057715,A830018L16Rik,1
1,11606939,11608231,+,ENSMUSG00000057715,A830018L16Rik,2
1,11658475,11659095,+,ENSMUSG00000057715,A830018L16Rik,3
1,11666075,11672335,+,ENSMUSG00000057715,A830018L16Rik,4
1,11817889,11818615,+,ENSMUSG00000057715,A830018L16Rik,5
1,11868405,11869090,+,ENSMUSG00000057715,A830018L16Rik,6
1,11899739,11900415,+,ENSMUSG00000057715,A830018L16Rik,7
1,12003468,12004264,+,ENSMUSG00000057715,A830018L16Rik,8
1,12044891,12046425,+,ENSMUSG00000057715,A830018L16Rik,9
1,12856392,12859342,+,ENSMUSG00000016918,Sulf1,1
1,12891894,12893440,+,ENSMUSG00000016918,Sulf1,2
1,12910327,12911021,+,ENSMUSG00000016918,Sulf1,3
1,12920820,12923013,+,ENSMUSG00000016918,Sulf1,4
1,12928767,12931716,+,ENSMUSG00000016918,Sulf1,5
1,12936473,12942812,-,ENSMUSG00000025938,Slco5a1,1
1,12948519,12951976,-,ENSMUSG00000025938,Slco5a1,2
1,12964351,12964992,-,ENSMUSG00000025938,Slco5a1,3
1,13045743,13048173,-,ENSMUSG00000025938,Slco5a1,4
1,13183381,13184783,-,ENSMUSG00000042414,Prdm14,1
1,13209029,13213284,-,ENSMUSG00000005886,Ncoa2,1
1,13215225,13217488,-,ENSMUSG00000005886,Ncoa2,2
1,13218353,13219039,-,ENSMUSG00000005886,Ncoa2,3
1,13234425,13237630,-,ENSMUSG00000005886,Ncoa2,4
1,13252208,13257434,-,ENSMUSG00000005886,Ncoa2,5
1,13260030,13260714,-,ENSMUSG00000005886,Ncoa2,6
1,13634622,13636846,-,ENSMUSG00000025935,Tram1,1
1,13646068,13646976,-,ENSMUSG00000025935,Tram1,2
1,13648042,13648682,-,ENSMUSG00000025935,Tram1,3
1,13649374,13650082,-,ENSMUSG00000025935,Tram1,4
1,13693254,13697384,-,ENSMUSG00000025937,Lactb2,1
1,13699919,13700737,-,ENSMUSG00000025937,Lactb2,2
1,13771308,13772247,+,ENSMUSG00000067813,Xkr9,1
1,14238878,14241439,-,ENSMUSG00000025932,Eya1,1
1,14277850,14278523,-,ENSMUSG00000025932,Eya1,2
1,14322524,14323138,-,ENSMUSG00000025932,Eya1,3
1,14340631,14341366,-,ENSMUSG00000025932,Eya1,4
